;cep;bairro
0;91790-401;Restinga
1;91787-631;Lami
2;91320-360;Vila Jardim
3;91430-560;Jardim Carvalho
4;91570-261;Lomba do Pinheiro
5;90840-291;Nonoai
6;90840-090;Santa Tereza
7;90820-300;Cristal
8;90880-550;Santa Tereza
9;90843-330;Nonoai
10;90870-061;Glória
11;91420-650;Bom Jesus
12;91320-400;Vila Jardim
13;91320-440;Vila Jardim
14;91510-301;Coronel Aparício Borges
15;91760-631;Jardim Isabel
16;90830-601;Cristal
17;91910-690;Camaquã
18;91740-121;Cavalhada
19;91920-003;Camaquã
20;91750-083;Campo Novo
21;91712-202;Cascata
22;91710-550;Coronel Aparício Borges
23;90610-330;Jardim Botânico
24;91330-610;Vila Jardim
25;91790-401;Restinga
26;91787-631;Lami
27;91320-360;Vila Jardim
28;91430-560;Jardim Carvalho
29;91570-261;Lomba do Pinheiro
30;90840-291;Nonoai
31;90840-090;Santa Tereza
32;90820-300;Cristal
33;90880-550;Santa Tereza
34;90843-330;Nonoai
35;90870-061;Glória
36;91420-650;Bom Jesus
37;91320-400;Vila Jardim
38;91320-440;Vila Jardim
39;91510-301;Coronel Aparício Borges
40;91760-631;Jardim Isabel
41;90830-601;Cristal
42;91910-690;Camaquã
43;91740-121;Cavalhada
44;91920-003;Camaquã
45;91750-083;Campo Novo
46;91712-202;Cascata
47;91710-550;Coronel Aparício Borges
48;90610-330;Jardim Botânico
49;91330-610;Vila Jardim
50;91790-401;Restinga
51;91787-631;Lami
52;91320-360;Vila Jardim
53;91430-560;Jardim Carvalho
54;91570-261;Lomba do Pinheiro
55;90840-291;Nonoai
56;90840-090;Santa Tereza
57;90820-300;Cristal
58;90880-550;Santa Tereza
59;90843-330;Nonoai
60;90870-061;Glória
61;91420-650;Bom Jesus
62;91320-400;Vila Jardim
63;91320-440;Vila Jardim
64;91510-301;Coronel Aparício Borges
65;91760-631;Jardim Isabel
66;90830-601;Cristal
67;91910-690;Camaquã
68;91740-121;Cavalhada
69;91920-003;Camaquã
70;91750-083;Campo Novo
71;91712-202;Cascata
72;91710-550;Coronel Aparício Borges
73;90610-330;Jardim Botânico
